Hour,Plant Capacity (MW),Efficiency (%),Demand (MW),Fuel Consumption (tons),Power Generated (MW)
1,100,40,81.9072284186087,1.9483680618066248,32.76289136744347
2,100,40,72.96462267670965,1.642226662743087,29.18584907068386
3,100,40,98.22492624319705,1.689538837458324,39.289970497278816
4,100,40,60.94892254921191,1.7710066922713827,24.379569019684762
5,100,40,79.39282079994703,1.8054800015474226,31.75712831997881
6,100,40,85.01050074951112,1.8633927138158162,34.004200299804445
7,100,40,91.27822446726908,1.8831900434452415,36.51128978690763
8,100,40,70.34855152140035,2.1835745182313038,28.13942060856014
9,100,40,84.34609538287407,2.264359786239062,33.73843815314962
10,100,40,65.16007356921413,1.963318812189534,26.064029427685654
11,100,40,71.77380461809102,2.860944629881092,28.70952184723641
12,100,40,94.78135656016997,2.3297095850084317,37.91254262406799
13,100,40,97.49538046654772,2.68121539205011,38.99815218661908
14,100,40,85.94086734636323,2.886356748631265,34.376346938545296
15,100,40,68.71759453880925,1.7447026718637078,27.487037815523703
16,100,40,91.0028894987332,2.1418117255734517,36.40115579949328
17,100,40,51.29335408627101,2.149815602571913,20.5173416345084
18,100,40,55.13729552697105,2.0317083756575314,22.054918210788422
19,100,40,83.06868681876806,1.51335879982746,33.22747472750722
20,100,40,64.56242876350288,2.7239581616671424,25.82497150540115
21,100,40,97.5693109200239,1.6673389823308542,39.02772436800956
22,100,40,71.80303060461523,2.9932208968826384,28.72121224184609
23,100,40,71.46824101945884,2.6594377378667726,28.587296407783537
24,100,40,83.90397550954657,2.3700150264097717,33.561590203818625
25,100,40,88.37842811530948,1.7319096266123961,35.35137124612379
26,100,40,73.77793690625683,2.2730894570898705,29.51117476250273
27,100,40,60.70004508558621,1.8916631112867133,24.280018034234484
28,100,40,88.66543213628108,1.8784837868146043,35.466172854512436
29,100,40,66.01756374368138,2.744293874073728,26.40702549747255
30,100,40,58.755538464692876,2.070966635939152,23.50221538587715
31,100,40,81.58200949625066,2.176085705086206,32.63280379850026
32,100,40,54.52268334951752,2.7644471066701772,21.809073339807007
33,100,40,98.56763375430275,1.6316859385782638,39.427053501721105
34,100,40,81.61986322060685,2.391926779636574,32.64794528824274
35,100,40,99.29477604608779,2.3673235220595568,39.71791041843511
36,100,40,66.9446711739318,2.1378218539000127,26.777868469572716
37,100,40,98.5602580595199,2.7446619621361394,39.42410322380796
38,100,40,57.278112386431175,2.914335092003539,22.91124495457247
39,100,40,52.03473861735142,2.1980037928704164,20.813895446940567
40,100,40,51.64920302273013,2.1842205764975997,20.65968120909205
41,100,40,73.24351852996135,2.2530955945061173,29.29740741198454
42,100,40,54.15020987392974,2.584686046249592,21.6600839495719
43,100,40,75.60839420838009,2.5020904360484435,30.243357683352038
44,100,40,66.37502517544502,1.8342524238103306,26.550010070178004
45,100,40,66.78144962370578,1.595843022899015,26.71257984948231
46,100,40,81.7804498272585,2.923881194725184,32.712179930903396
47,100,40,58.15490030758101,1.8916046396005564,23.261960123032406
48,100,40,88.32766851698655,2.4578950270358875,35.33106740679462
49,100,40,79.10154598893173,2.7426570041155838,31.640618395572695
50,100,40,95.74723144237555,1.9504151258207794,38.298892576950216
51,100,40,68.24203268837617,2.453150120485393,27.29681307535047
52,100,40,99.13574960335627,1.6618503617238374,39.65429984134251
53,100,40,78.79138233570116,2.954897166563491,31.516552934280462
54,100,40,98.6700978093767,1.5872374125759388,39.46803912375068
55,100,40,51.35303270235577,2.1572620107614644,20.54121308094231
56,100,40,86.3988161206194,2.305228863090035,34.55952644824776
57,100,40,90.83107621463682,2.685722667995046,36.33243048585473
58,100,40,52.658664333824376,1.681692775608632,21.063465733529753
59,100,40,78.94848320081229,2.161211960782765,31.579393280324915
60,100,40,90.09711467947241,1.9495673543151786,36.038845871788965
61,100,40,78.05193626115364,1.96801607354001,31.220774504461456
62,100,40,53.190679520273335,2.6681818740978764,21.276271808109332
63,100,40,84.67236204491557,1.5081914175477498,33.86894481796623
64,100,40,53.02984573366543,2.6236254620039494,21.211938293466176
65,100,40,90.87344475082193,2.7155976451846593,36.349377900328776
66,100,40,52.15170916533472,2.8520433657631035,20.86068366613389
67,100,40,56.86986905051854,2.440322704845725,22.747947620207416
68,100,40,63.75537952616342,2.000182992408362,25.50215181046537
69,100,40,81.66823961304,2.1408520988233057,32.667295845216
70,100,40,98.8179549815653,2.9546041234311438,39.52718199262612
71,100,40,55.89114263099672,2.821780239653778,22.356457052398685
72,100,40,57.13538346069592,2.195288863649163,22.85415338427837
73,100,40,68.44351983504902,2.9145945106663835,27.377407934019608
74,100,40,91.81095688776601,2.7344323131096884,36.724382755106404
75,100,40,73.36154763754071,2.8516347924896923,29.344619055016285
76,100,40,66.08053001279109,2.5244658518638814,26.432212005116433
77,100,40,78.06019161044307,2.7864810651929925,31.22407664417723
78,100,40,63.0261598722875,2.8376492120014887,25.210463948915
79,100,40,70.05799536237605,1.638024876811007,28.02319814495042
80,100,40,66.6302574616021,2.947825464990988,26.652102984640837
81,100,40,90.2070511207323,2.000419648146095,36.08282044829292
82,100,40,96.21278632190004,2.1598492643750333,38.48511452876002
83,100,40,87.97860960784558,2.687855638789223,35.19144384313823
84,100,40,71.95417880149918,2.4973444583587465,28.781671520599673
85,100,40,75.21674887483319,2.8395898686540857,30.08669954993327
86,100,40,56.25368469647179,2.1008606261651583,22.501473878588712
87,100,40,87.34323555672688,2.059932245514238,34.93729422269075
88,100,40,79.82378396975221,1.5475332743119794,31.929513587900885
89,100,40,95.12199980687183,2.194088065004487,38.04879992274873
90,100,40,60.03055717875766,2.5861061554936633,24.012222871503063
91,100,40,87.98630609663061,1.9517680764393242,35.19452243865225
92,100,40,84.23358308595948,2.1940897705107623,33.6934332343838
93,100,40,63.29227669048761,1.829096652727917,25.316910676195047
94,100,40,83.36893197704126,2.659181708807191,33.34757279081651
95,100,40,96.21866902883248,1.5907673420117208,38.48746761153299
96,100,40,95.92179938335595,2.5580745825007476,38.368719753342376
97,100,40,85.98132872580706,2.068410017617475,34.392531490322824
98,100,40,52.40365562670301,1.5623941040806812,20.9614622506812
99,100,40,93.61321686600807,2.7802043809376786,37.44528674640323
100,100,40,82.888930350227,2.2315827947717475,33.1555721400908
101,100,40,65.52171265913672,2.398978454424194,26.208685063654688
102,100,40,59.36251808528496,2.5980460372866854,23.745007234113984
103,100,40,55.81019314986585,2.4826116495017834,22.32407725994634
104,100,40,52.51184496288805,2.596285306221917,21.004737985155217
105,100,40,87.70516239753782,2.643422526866787,35.08206495901513
106,100,40,61.792149947163765,2.3837272958469162,24.716859978865507
107,100,40,51.21264680216275,2.048456746361635,20.4850587208651
108,100,40,69.86353259209946,1.864713224574514,27.945413036839785
109,100,40,74.13035402961694,2.8543548549791806,29.652141611846776
110,100,40,58.461511545006346,2.9548872669573303,23.38460461800254
111,100,40,52.20241680812749,2.0364941326473134,20.880966723250992
112,100,40,59.45627415490344,1.6684660936084503,23.782509661961377
113,100,40,83.95513809182872,1.833805990674647,33.582055236731485
114,100,40,54.11218386256032,2.5060010189807844,21.64487354502413
115,100,40,77.7518515278497,1.7594000549374962,31.100740611139877
